Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
OPTIMAL NIPAH VIRUS (NIV) SPREAD CONTROL DYNAMICS,"Ozioko, AL; Aja, RO; Fadugba, SE; Malesela, K; Mbah, GCE","In this work, we look at the vaccine and condom Nipah virus model using an optimum control analysis. We implemented measures to limit infection dissemination and control. We examine four distinct controls: personal protection, rapid testing, burying infected pigs, and therapy control. We construct an ideal control model and demonstrate the mathematical results using the suggested controls. The results of optimum control suggest that measures can be useful in decreasing infected individuals and increasing the health of society.",2023,,COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCE,,,,WOS:001203518000076,10.28919/cmbn/8045,,#3512,Ozioko 2023,"",""
ANALYSIS OF THE TRANSMISSION OF NIPAH VIRUS UNDER FRACTIONAL OPERATOR WITH NON-SINGULAR AND NONLOCAL KERNEL,"Ali, A; Yousef, A; Ullah, A; Ahmad, S; Naz, H; Al-Mdallal, QM",The fractional dynamics of the lethal Nipah virus (NiV) is investigated in this research. The transmission patterns of the Nipah virus are studied quantitatively and qualitatively. Fixed-point results are utilized to study the NiV fractional model qualitatively. An efficient numerical method Predictor-Corrector (PC) is used to deduce the numerical results of the NiV model. The stability of the numerical approach is studied through nonlinear analysis. The numerical results are graphically presented in various fractional orders. The effects of transmission and infection rates on the evolution of the proposed model are presented through numerical simulations.,2022,,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,30,10,,WOS:000879748900001,10.1142/S0218348X22401934,,#3527,Ali 2022,"",""
Control of Nipah virus outbreak in commercial pig-farm with biosecurity and culling,"Das, S; Das, P","A coupled pig-human Nipah virus disease model is studied in a commercial farm to understand dynamics of disease spillover from pig to human. To portray the specific scenario, two parameters representing biosecurity level and selective culling are included in the system. Along with standard equilibrium analysis, backward and Hopf bifurcation phenomena are demonstrated analytically and numerically. Optimal control of culling alone and also with other controls for the minimization of loss are discussed. It is observed that, irrespective of its application rate, culling is more effective in presence of other controls. Parameter sensitivity analysis of system solution has been used to identify significant parameters for the change of disease dynamics. Sensitivity test is also performed on the objective function of optimal control problem, which singled out crucial parameters influencing the economic loss of farm-owner. Based on this study, some strategies regarding application of various controls are suggested.",2020,,MATHEMATICAL MODELLING OF NATURAL PHENOMENA,15,,,WOS:000597182000006,10.1051/mmnp/2020047,,#3571,Das 2020,"",""
A mathematical study unfolding the transmission and control of deadly Nipah virus infection under optimized preventive measures: New insights using fractional calculus,"Samreen; Ullah, S; Nawaz, R; AlQahtani, SA; Li, S; Hassan, AM","This paper presents a new mathematical model governed by a nonlinear fractional-order system of differential equations to investigate the dynamics and optimal control interventions of the Nipah virus using the Caputo derivative. The model describes the effects of inappropriate contact with an infectious corpse as a potential route for virus transmission. We considered two transmission modes while formulating the proposed model: Food-borne transmission and human-to-human transmission. Initially, the model is evaluated with constant controls, and the fundamental analysis is carried out. The model analysis identified three equilibrium states: Nipah virus-free equilibrium, infected flying foxes free equilibrium, and Nipah virus endemic equilibrium state. In addition, a thorough theoretical analysis including stability of the Nipah virus-free equilibrium and Nipah virus endemic equilibrium points of the fractional model is performed. Furthermore, sensitivity analysis of the model parameters is performed to obtain effective time-dependent controls. Based on the sensitivity indices, a fractional optimal control model is presented and the most effective strategy for disease eradication is determined through numerical simulations. The model is optimized using optimal control theory, and Pontryagin's maximum principle is used to obtain primary optimality conditions. Simulation results are performed to verify the theoretical results.",2023,,RESULTS IN PHYSICS,51,,,WOS:001029306900001,10.1016/j.rinp.2023.106629,,#3643,Samreen 2023,"",""
Compartmental modelling in epidemic diseases: a comparison between SIR model with constant and time-dependent parameters,"Sikder, AK; Hossain, MB; Islam, MH","The compartmental modelling is one of the most widely used techniques in investigating the dynamics of infectious diseases. This modelling technique usually treats model parameters as constant. However, the parameters associated with infectious diseases randomly change following the changes in the conditions of disease transmission. As a result, the estimated parameters are often found over or under-determined by direct problems when some conditions change and the forecasting using direct problems often goes wrong. In this study, we estimate the model parameters over different time intervals by means of the inverse problem method and then solve the forward problem using these estimated parameters to compare them with the real epidemic data. We apply the method to estimate the parameters corresponding to Nipah virus, Measles and COVID-19 in the context of Bangladesh. The results suggest that the method helps to gain improved insights into epidemic scenarios corresponding to smaller time intervals. The results of the direct problem are found to fall apart fairly quickly from the real epidemic data as the length of the interval used in the inverse problem method increased.",2023,,INVERSE PROBLEMS,39,3,,WOS:000928672600001,10.1088/1361-6420/acb4e7,,#3679,Sikder 2023,"",""
Exploring the Inducement for Social Awareness Behavior and Optimal Control Strategy on Nipah Virus Transmission,"Efat, S; Kabir, KMA","Optimal control theory and evolutionary game theory are essential tools for comprehending and influencing the intricate behaviors of complex systems, particularly in the context of disease transmission and strategies for intervention. In this study, we leverage optimal control theory to address short-term disease dynamics using a single season strategy. In contrast, evolutionary game theory guides our approach on a longer timescale through a repeated seasonal model. We employ a system of nonlinear ordinary differential equations to dissect how the dynamics of primary infections impact the spread of Nipah disease. Our novel dynamic system extends the classical susceptible-infected-recovered (SIR) model by introducing four distinct population categories: humans, bats, fruit, and animals. We delve into this epidemic model's theoretical underpinnings, examining disease-free and endemic equilibria to establish stability conditions. To address the challenge of optimally reducing the number of infectious individuals, we formulate an optimal control problem featuring four distinct control strategies. These strategies are deployed to mitigate disease transmission, all driven by a generalized incidence function. By identifying the optimal amalgamation of these strategies, we aim to minimize the infectious population. Decisions about the selection and execution of diverse disease control policies rest upon theoretical projections and numerical simulations conducted over a single season. Our study also incorporates evolutionary game dynamics, wherein individuals choose whether to adopt awareness and protection measures after the disease has circulated within the community. We meticulously explore the impact of such awareness and protection measures to underscore their significance within the context of the epidemic model across multiple time steps. Moreover, we systematically analyze the parameter properties within the epidemic model to address diverse real-world scenarios.",2024,,COMPLEXITY,2024,,,WOS:001288286900001,10.1155/2024/7880455,,#3682,Efat 2024,"",""
A robust computational study for assessing the dynamics and control of emerging zoonotic viral infection with a case study: A novel epidemic modeling approach,"Li, S; Ullah, S; Samreen; Khan, IU; AlQahtani, SA; Riaz, MB","Fractional calculus and fractal theory remain significant tools in modeling complex real-world problems in biology and life science. In this study, we formulated a compartmental mathematical model using the Caputo fractional and fractal-fractional operators to study the dynamics and transmission of Nipah virus infection. Initially, the model is developed by a system of seven nonlinear ordinary differential equations that govern the dynamics of viral concentration, the flying fox, and the human populations. Furthermore, the model is restructured using more general modeling approaches based on fractional calculus and fractal theory to gain valuable insights into the dynamics of Nipah virus transmission. The necessary properties of the model, such as uniqueness and existence in both cases, were investigated, and possible equilibrium points with their existence were presented. The model parameters are estimated on the basis of the clinical epidemiology of the Nipah outbreak in Bangladesh, one of the most affected regions. The stability of the fractional model is studied by applying the Ulam-Hyers and Ulam-Hyers-Rassias stability conditions. Moreover, computational schemes for the model in fractional and fractal-fractional cases are developed using interpolation techniques. Finally, a detailed simulation was presented to validate the theoretical findings. We affirm that the present findings will help researchers incorporate advanced computational techniques in infectious disease modeling and control studies.",2024,,AIP ADVANCES,14,1,,WOS:001147174600005,10.1063/5.0188703,,#3755,Li 2024,"",""
Study of Fractional Order Dynamical System of Viral Infection Disease under Piecewise Derivative,"Shah, K; Naz, H; Abdeljawad, T; Abdalla, B","This research aims to understand the fractional order dynamics of the deadly Nipah virus (NiV) disease. We focus on using piecewise derivatives in the context of classical and singular kernels of power operators in the Caputo sense to investigate the crossover behavior of the considered dynamical system. We establish some qualitative results about the existence and uniqueness of the solution to the proposed problem. By utilizing the Newtonian polynomials interpolation technique, we recall a powerful algorithm to interpret the numerical findings for the aforesaid model. Here, we remark that the said viral infection is caused by an RNA type virus which can transmit from animals and also from an infected person to person. Fruits bats which are also known as flying foxes are one of the sources of transmission of NiV disease. Here in this work, we investigate its transmission mechanism through some new concepts of fractional calculus for further analysis and prediction. We present the approximate results for different compartments using different fractional orders. By using the piecewise derivative concept, we detect the crossover or multi-steps behavior in the transmission dynamics of the mentioned disease. Therefore, the considered form of the derivative is used to deal with problems exhibiting crossover behaviors.",2023,,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,136,1,921-941,WOS:000950631200020,10.32604/cmes.2023.025769,,#3807,Shah 2023,"",""
"Hospital-based zoonotic disease surveillance in Bangladesh: design, field data and difficulties","Das, P; Sazzad, HMS; Aleem, MA; Rahman, MZ; Rahman, M; Anthony, SJ; Lipkin, WI; Gurley, ES; Luby, SP; Openshaw, JJ","Early detection of zoonotic diseases allows for the implementation of early response measures, reducing loss of human life and economic disruption. We implemented a surveillance system in hospitals in Bangladesh to screen acutely ill hospitalized patients with severe respiratory infection and meningoencephalitis for zoonotic exposures. Patients were screened for the risk of zoonotic exposures with five questions covering vocational exposures, sick domestic animal and wild animal contact, and date palm sap consumption in the three weeks preceding illness onset. Patients giving at least one positive response were considered a potential zoonotic exposure. From September 2013 to March 2017, a total of 11 429 hospitalized patients across 14 participating hospitals were screened for exposures. Overall, 2% of patients reported a potential zoonotic exposure in the three-week period prior to becoming ill. Sixteen per cent of hospitalized patients with reported exposures died. After routine surveillance diagnostic testing, 88% of patients admitted to the hospital after a potential zoonotic exposure did not have a laboratory diagnosed aetiology for their illness. Hospital-based surveillance systems such as the Bangladeshi example presented here could play an important future role in the early detection of zoonotic spillover diseases.This article is part of the theme issue 'Dynamic and integrative approaches to understanding pathogen spillover'.",2019,,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,374,1782,,WOS:000480715600015,10.1098/rstb.2019.0019,,#4015,Das 2019,Christian Morgenstern (2024-10-22 06:32:32)(Select): risk factors in SI; ,""
Nipah Virus Infection,"Wong, Kum Thong; Shieh, Wun-Ju; Kumar, Shalini; Norain, Karim; Abdullah, Wahidah; Guarner, Jeannette; Goldsmith, Cynthia S.; Chua, Kaw Bing; Lam, Sai Kit; Tan, Chong Tin; Goh, Khean Jin; Chong, Heng Thay; Jusoh, Rani; Rollin, Pierre E.; Ksiazek, Thomas G.; Zaki, Sherif R.",,2002,,The American Journal of Pathology,161,6,2153-2167,,10.1016/S0002-9440(10)64493-8,,#4046,Wong 2002,"",""
"Outbreak of Henipavirus Infection, Philippines, 2014","Ching, Paola Katrina G.; De Los Reyes, Vikki Carr; Sucaldito, Maria Nemia; Tayag, Enrique; Columna-Vingno, Alah Baby; Malbas, Fedelino F.; Bolo, Gilbert C.; Sejvar, James J.; Eagles, Debbie; Playford, Geoffrey; Dueger, Erica; Kaku, Yoshihiro; Morikawa, Shigeru; Kuroda, Makoto; Marsh, Glenn A.; McCullough, Sam; Foxwell, A. Ruth",,2015,,Emerg. Infect. Dis.,21,2,328-331,,10.3201/eid2102.141433,,#4047,Ching 2015,"",""
"Occupational exposure, age, diabetes mellitus and outcome of acute Nipah encephalitis","Chong, Victor; Goh, Khean Jin; Chew, Nee-Kong",,2001,,Neurol J Southeast Asia,,6,7-11,,,,#4055,Chong 2001,"Tristan Naidoo (2025-02-18 02:38:51)(Select): Risk factors
; ",""
The risk of human Nipah virus infection directly from bats (Ptoropus hypomelanus) is low,"CHONG, Heng Thay; TAN, Chong Tin; GOH, Khean Jin; LAM, Sai Kit; CHUA, Kaw Bing",,2003,,Neurol J Southeast Asia,8,,31-34,,,,#4056,CHONG 2003,"",""
Kineties of IgM and IgG seroconversion in Nipah virus infection,"RAMASUNDRUM, Vimalan; TAN, Chong Tin; CHUA, Kaw Bing; CHONG, Heng Thay; GOH, Khean Jin; TAN, Kay Sin; THAYAPARAN, Tarmizi; KUNJAPAN, Sree Raman; PETHARUNAM, Vijayasingham; LOH, Yet Lin; KSIAZEK, Thomas G; LAM, Sai Kit",,2000,,Neurol J Southeast Asia,5,,23-28,,,,#4057,RAMASUNDRUM 2000,"",""
Effects of asymptomatic infections and population movements on the geographical spread of Nipah virus,"Mabotsa, M; Munganga, JMW","We develop a deterministic patch model for the transmission of Nipah virus in bat, pig, and human populations. The mathematical analysis of the model reveals that the disease-free equilibrium is globally asymptotically stable when the basic reproduction number R-0 is less than 1, and unstable when R-0>1 . In the case where R-0>1 , there exists at least one positive equilibrium. Under the assumption of symmetric connectivity matrices, the basic reproduction number is increasing in terms of the dispersal rate of exposed humans, if the dispersal rates of symptomatic and asymptomatic humans are zero. On the other hand, if the direct transmission rates of symptomatic and asymptomatic infections are equal and the dispersal rates of exposed and symptomatic humans are zero, the basic reproduction number is increasing in terms of asymptomatic humans. For small dispersal rates, the endemic equilibrium approaches an endemic equilibrium with relatively lower endemic level.",2025,,PHYSICA SCRIPTA,100,3,,WOS:001416382000001,10.1088/1402-4896/adaf7c,,#4070,Mabotsa 2025,"",""
Computational Analysis of Nipah Virus Transmission Using Mathematical Modelling and Graphical Programming,"Ahmed, S; Ullah, S; Asghar, N; Ahmed, W","In this paper, a proposed mathematical model, along with a computer simulation, examines the dynamics of Nipah virus transmission between pigs and humans. Additionally, a theoretical analysis of the proposed model is conducted to explore the spread mechanism of the virus. The stability of the proposed model is assessed, the equilibrium points are determined and the basic reproduction number is computed. The disease-free equilibrium showed locally asymptotic stability for R0 < 1. The solution existence and boundedness, as well as the Routh-Hurwitz criterion, are proven. Graphs are plotted to show the visual representation of the spread behavior. The numerical simulation demonstrated the varying behavior of the system. Finally, MATLAB-Simulink is used to develop a block diagram model of the system through graphical programming. Simulation results are conducted to verify the theoretical findings. The Simulink environment offers advantages over the traditional numerical methods which require manual calculations and extensive coding. Simulink provides real-time visualization and parameter tuning through its block diagram interface. Simulink can be utilized for more complex and multi-scale dynamical systems in the future. It can serve as a promising tool for advancing research in epidemiology.",2025,,BIONANOSCIENCE,15,2,,WOS:001413808900006,10.1007/s12668-025-01804-x,,#4074,Ahmed 2025,"",""
Theoretical analysis of a fractional-order nipah virus transmission system with sensitivity and cost-effectiveness analysis,"Barman, S; Jana, S; Majee, S; Kar, TK","Nipah virus is a newly discovered infectious illness in a crowded world. It has a deadly impact on both the human and animal populations. Controlling the disease will need a deeper understanding of the route of transmission. To better explain how the illness behaves, an epidemic system consisting of eight separate compartments has been devised based on the actual Requirement, which uses a set of fractional-order differential equations. With the assistance of the next-generation matrix method, the basic reproduction numbers for humans ( R-0(m) ) and animals ( R-0(a) ) are determined. Depending upon the numerical quantity of R-0(m) , R-0(a) , the feasibility and existence requirements of the system at the equilibria are investigated. Also, we observe that the system displays two transcritical bifurcations: one occurs at R0a=1 for any value of R0m and the second one occurs at R-0(m)=1 for R-0(a) <1 . Additionally, we looked at optimal control strategies by considering treatment and media as two dynamic control variables. Two ratios are computed to evaluate the cost-effectiveness of all feasible control measures: the incremental cost-effectiveness ratio and the infected averted ratio. Moreover, the impact of system parameters on disease transmission is determined by performing the sensitivity analysis.",2025,,PHYSICA SCRIPTA,100,1,,WOS:001381765800001,10.1088/1402-4896/ad9ae0,,#4077,Barman 2025,"",""
"Nipah virus transmission dynamics: equilibrium states, sensitivity and uncertainty analysis","Dutta, P; Samanta, G; Nieto, JJ","As the initial outbreak of Nipah virus disease in 1998-1999, which affected both human and non-human primates primarily in developing countries in far East Asian region, the devastating impact of this virus has persisted. It has been observed that one of the potential modes of transmission for the Nipah virus is through unprotected contact with deceased bodies of infected individuals. In response to these concerns, proposed research has focused on understanding the dynamics of Nipah virus transmission, considering three main modes: food-borne transmission, human-to-human transmission, and transmission from deceased bodies. Furthermore, this study delves into the impact of media coverage on both the spread and control of infectious diseases like Nipah virus. Furthermore, the work includes a comprehensive theoretical analysis that examines the stability of the possible steady states within the model. Sensitivity analysis utilizing Latin hypercube sampling method is employed to evaluate how various parameters within the model influence the propagation of ailment. Subsequently, Kendall's tau and Spearman's rank correlation coefficients are computed for further investigation of the impact of these uncertainties on disease dynamics. The concept of transcritical bifurcation-induced stability alteration has been examined, exploring how changes in stability occur when a system undergoes a transcritical bifurcation. The study aims to provide a comprehensive understanding of how different variables, like media coverage, frequency and amplitude of transmission, can influence the spread and evolution of the infection over time.",2024,,NONLINEAR DYNAMICS,,,,WOS:001359550200001,10.1007/s11071-024-10549-3,,#4120,Dutta 2024,"",""
THE MATHEMATICAL NIPAH VIRUS MODEL WITH ATANGANA-BALEANU DERIVATIVE,"Ozioko, AL; Malesela, K; Abang, SIS; Fadugba, SE; Ogbuagu, LI; Aja, RO; Mbah, GCE","The applicability of the Atangana-Baleanu derivative in modeling and assessing the dynamics of the Nipah virus is investigated in this paper. The Atangana-Baleanu derivative, a fractional derivative operator, is used in the mathematical model of the Nipah virus to add memory effects and non-local behaviour. To do this, we first use fixed point theory to establish the existence and uniqueness of the solutions for the fractional order model. Using various fractional order values, we got a number of numerical simulations emphasizing the significance of the aforementioned derivative. The findings of solving the Nipah virus (NiV) model using the Atangana-Baleanu derivative provide a better understanding of the dynamics and behaviors of the studied systems.",2024,,COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCE,,,,WOS:001342811900002,10.28919/cmbn/8286,,#4124,Ozioko 2024,"",""
Sensitivity analysis and differential transformation tech-nique on Nipah virus mathematical model,"Ozioko, AL; Aja, RO; Fadugba, SE; Kekana, M; Topman, NN; Nwosu, CN; Aguegboh, NS; Mbah, GCE","In this research, we conduct sensitivity analysis on the parameters of the Nipah virus model and then apply the differential transformation method to solve the model equations. By doing so, we aim to assess the impact of key model parameters on disease dynamics and obtain an accurate and efficient solution for the model.",2025,,JOURNAL OF MATHEMATICS AND COMPUTER SCIENCE-JMCS,37,4,423-448,WOS:001362067600006,10.22436/jmcs.037.04.06,,#4131,Ozioko 2025,"",""
A neural network based Nipah virus model for healthcare disaster management,"Almoajel, AM","The present investigations provide the solutions of the fractional order Nipah virus (NiV) model by using the stochastic computing neural network. This model has significant impacts on disaster management based on the accurate prediction, early warning system, resource allocation, and economic impact assessment. Fractional calculus is used to present more real results as compared to integer order derivatives. The NiV model is categorized into susceptible individuals, exposed individuals, infected individuals, risk population, quarantined individuals, and recovered individuals. By leveraging the fractional NiV model, the disaster management teams can better perform data-driven decisions, thus saving more lives by reducing the effects of virus outbreaks. The proposed single layer neural network stochastic scheme is implemented through the scale conjugate gradient as an optimization. Moreover, twenty numbers of neurons in the hidden layer, sigmoid activation function and the dataset is obtained through Adam scheme. By comparing the outcomes and employing certain statistical accomplishments, the reliability of the approach is demonstrated. The comparison of the results in good order as well as absolute error around 10_ 04 to 10_06 perform the reliability of the designed scheme. These simulated solutions based on the proposed scheme also support in the future by taking the real values of the health carebased systems.",2025,,CHAOS SOLITONS & FRACTALS,192,,,WOS:001412266600001,10.1016/j.chaos.2025.116055,,#4141,Almoajel 2025,"",""
HYERS-ULAM STABILITY OF EBOLA AND NIPAH VIRUS CO-INFECTION FRACTIONAL DYNAMICS,"Sundar, D; Govindan, V; Vignesh, P; Santra, SS; Baleanu, D; Altanji, M","In this research, the goal is to formulate a mathematical model that predicts the transference mechanisms of Ebola virus (EBOV) and Nipah virus (NIV) infections. They utilize fractional-order derivatives to describe the behavior of the viruses, particularly focusing on the difference in disease manifestation between humans and fruit bats, the putative natural reservoirs. Additionally, they employ fixed-point theory to analyze the qualitative aspects of their model. Also, we investigate the stability of the model using Ulam-Hyers-type results. Furthermore, we utilize the fractional Atangana-Baleanu integral and the Adams-Milton numerical method using MATLAB to provide graphical representations and insights into the behavior of the viruses under various conditions of transference.",2024,,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,32,09N10,,WOS:001369999300001,10.1142/S0218348X25400341,,#4142,Sundar 2024,"",""
Malaysia outbreak survivors retain detectable Nipah antibodies and memory B cells after 25 years,"Ong, HM; Ibrahim, PAS; Chong, CN; Tan, CT; Schee, JP; Avumegah, MS; Román, RG; Cherian, NG; Wong, WF; Chang, LY","Objective: To evaluate the long-term humoral immune response to Nipah virus (NiV) in a cohort of 25 survivors after 25 years of post-infection. Methods: A total of 25 survivors of NiV infection from the 1998 outbreak were recruited for sample collection. The serum IgG antibody response to NiV antigens, specifically nucleocapsid (N), fusion glycoprotein (F) and attachment glycoprotein (G) was evaluated using ELISA. Additionally, the samples were tested for neutralizing antibodies and memory B cell responses. Results: Detection rates of anti-NiV-F and anti-NiV-G were 56% and 60%, respectively, among the survivors at a 1:100 dilution, whereas only 20% were specifically reactive to rNiV-N. Notably, all samples that tested positive for NiV-F and NiV-G at this dilution also exhibited neutralizing antibodies, highlighting the specificity of these assays. Live virus neutralization assay showed that 72% of survivors had detectable neutralizing antibodies, with varying titers, indicating long-lasting immune memory. Furthermore, memory B cell responses specific to NiV-F and NiV-G were observed in six randomly selected survivors, suggesting the presence of enduring immunological memory. Conclusions: These findings highlight the potential of NiV-F and NiV-G as reliable markers for NiV exposure and underscore the need for continuous surveillance and research. Such efforts are crucial for advancing vaccine development and improving preparedness for future NiV outbreaks. (c) 2024 The Author(s). Published by Elsevier Ltd on behalf of The British Infection Association. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",2025,,JOURNAL OF INFECTION,90,2,,WOS:001401462900001,10.1016/j.jinf.2024.106398,,#4143,Ong 2025,"",""
Assessing the global dynamics of Nipah infection under vaccination and treatment: A novel computational modeling approach,"Yu, F; Khan, MY; Riaz, MB; Ullah, S","In biology and life sciences, fractal theory and fractional calculus have significant applications in simulating and understanding complex problems. In this paper, a compartmental model employing Caputo-type fractional and fractal-fractional operators is presented to analyze Nipah virus (NiV) dynamics and transmission. Initially, the model includes nine nonlinear ordinary differential equations that consider viral concentration, flying fox, and human populations simultaneously. The model is reconstructed using fractional calculus and fractal theory to better understand NiV transmission dynamics. We analyze the model's existence and uniqueness in both contexts and instigate the equilibrium points. The clinical epidemiology of Bangladesh is used to estimate model parameters. The fractional model's stability is examined using Ulam-Hyers and Ulam-Hyers-Rassias stabilities. Moreover, interpolation methods are used to construct computational techniques to simulate the NiV model in fractional and fractal-fractional cases. Simulations are performed to validate the stable behavior of the model for different fractal and fractional orders. The present findings will be beneficial in employing advanced computational approaches in modeling and control of NiV outbreaks.",2025,,PLOS ONE,20,1,,WOS:001397317800029,10.1371/journal.pone.0309360,,#4167,Yu 2025,"",""
A Case Series on the Recent Nipah Epidemic in Kerala,"NK, Thulaseedaran; KGS, Kumar; J, Kumar; P, Geetha; NV, Jayachandran; CG, Kamalasanan; S, Mathew; S, Pv","During May 2018 there occurred an outbreak in Kerala, which started in Soopikkada Village, Changarothu Grama Panchayath in Perambra Taluk, Kozhikode district, of a febrile illness with altered sensorium and ARDS. The diagnosis was made from the second case that it is the dreaded nipah infection. Fol …",2018,,The Journal of the Association of Physicians of India,66,10,,31317711,,5,#4358,NK 2018,Christian Morgenstern (2025-03-19 23:03:48)(Select): requested from library; ,""
Nipah encephalitis: A report of 18 patients from Kuala Lumpur Hospital.,"Sim, Bee-Fung; Chang, Choong-Chor; Khalid, Raihanah",,2002,,Neurol J Southeast Asia,,7,13-18,,,,#4365,Sim 2002,"",""
